start_height,end_height,start_timestamp,end_timestamp,n,bit9_ones,bit9_pct,bit8_ones,bit8_pct,bit7_ones,bit7_pct,bit6_ones,bit6_pct,bit5_ones,bit5_pct,l9_000,l9_001,l9_010,l9_011,l9_100,l9_101,l9_110,l9_111,l9_entropy,l9_chi2,bit7_delta_prev_pp
864000,864999,1727983371,1728541002,1000,444,44.400000,450,45.000000,315,31.500000,420,42.000000,461,46.100000,185,184,166,150,118,93,70,34,2.857246768,174.128000000,0.300000
865000,865999,1728541079,1729138926,1000,447,44.700000,435,43.500000,330,33.000000,466,46.600000,467,46.700000,164,169,156,181,120,81,93,36,2.877788488,147.680000000,1.500000
866000,866999,1729139320,1729686632,1000,444,44.400000,480,48.000000,321,32.100000,465,46.500000,445,44.500000,166,176,184,153,122,71,83,45,2.875508372,157.088000000,-0.900000
867000,867999,1729687142,1730245553,1000,414,41.400000,428,42.800000,322,32.200000,447,44.700000,456,45.600000,156,182,180,160,130,85,78,29,2.853951994,172.080000000,0.100000
868000,868999,1730246720,1730824552,1000,435,43.500000,455,45.500000,294,29.400000,459,45.900000,484,48.400000,168,185,174,179,114,74,60,46,2.848947899,191.632000000,-2.800000
869000,869999,1730824735,1731419720,1000,438,43.800000,415,41.500000,349,34.900000,497,49.700000,468,46.800000,135,154,186,176,122,92,89,46,2.900043768,127.184000000,5.500000
870000,870999,1731419746,1732004116,1000,407,40.700000,464,46.400000,313,31.300000,458,45.800000,471,47.100000,162,183,161,181,134,63,72,44,2.855731613,179.680000000,-3.600000
871000,871999,1732004935,1732584571,1000,435,43.500000,447,44.700000,318,31.800000,464,46.400000,458,45.800000,179,167,172,164,112,78,79,49,2.883341991,149.440000000,0.500000
872000,872999,1732585265,1733196907,1000,437,43.700000,453,45.300000,324,32.400000,448,44.800000,471,47.100000,162,183,171,160,117,90,79,38,2.875874863,152.384000000,0.600000
873000,873999,1733196948,1733774260,1000,453,45.300000,449,44.900000,329,32.900000,460,46.000000,453,45.300000,182,148,163,178,126,84,76,43,2.879579513,150.704000000,0.500000
874000,874999,1733774697,1734351100,1000,449,44.900000,443,44.300000,319,31.900000,429,42.900000,481,48.100000,166,198,149,168,130,77,74,38,2.858978518,175.472000000,-1.000000
875000,875999,1734351798,1734938550,1000,413,41.300000,430,43.000000,327,32.700000,467,46.700000,499,49.900000,147,189,152,185,118,79,84,46,2.881989007,151.968000000,0.800000
876000,876999,1734938877,1735536577,1000,469,46.900000,433,43.300000,332,33.200000,441,44.100000,463,46.300000,178,171,148,171,129,81,82,40,2.879026521,148.768000000,0.500000
877000,877999,1735536681,1736113885,1000,441,44.100000,467,46.700000,329,32.900000,470,47.000000,474,47.400000,167,158,159,187,123,82,77,47,2.885833868,144.752000000,-0.300000
878000,878999,1736115231,1736721804,1000,441,44.100000,452,45.200000,324,32.400000,464,46.400000,434,43.400000,183,152,183,158,122,79,78,45,2.878412407,154.240000000,-0.500000
879000,879999,1736721931,1737337220,1000,468,46.800000,452,45.200000,342,34.200000,472,47.200000,474,47.400000,167,138,164,189,129,94,66,53,2.892737482,137.536000000,1.800000
880000,880999,1737337343,1737950952,1000,432,43.200000,439,43.900000,338,33.800000,445,44.500000,452,45.200000,188,168,150,156,128,71,82,57,2.896340663,134.416000000,-0.400000
881000,881999,1737951054,1738512938,1000,429,42.900000,460,46.000000,338,33.800000,468,46.800000,454,45.400000,166,164,167,165,120,82,93,43,2.894750138,129.504000000,0.000000
882000,882999,1738513253,1739090467,1000,446,44.600000,445,44.500000,330,33.000000,461,46.100000,458,45.800000,161,181,163,165,119,78,99,34,2.874723978,149.424000000,-0.800000
883000,883999,1739090794,1739684105,1000,471,47.100000,454,45.400000,311,31.100000,447,44.700000,462,46.200000,192,183,166,148,100,78,80,53,2.878861747,160.848000000,-1.900000
884000,884999,1739684144,1740330241,1000,465,46.500000,460,46.000000,304,30.400000,457,45.700000,469,46.900000,168,189,176,163,116,70,71,47,2.861635157,176.768000000,-0.700000
885000,885999,1740330498,1740912327,1000,451,45.100000,439,43.900000,346,34.600000,459,45.900000,452,45.200000,153,175,176,150,125,88,94,39,2.892844175,129.888000000,4.200000
886000,886999,1740912328,1741509557,1000,459,45.900000,443,44.300000,368,36.800000,469,46.900000,438,43.800000,154,153,164,161,141,83,103,41,2.905228471,112.016000000,2.200000
887000,887999,1741510066,1742098863,1000,437,43.700000,460,46.000000,302,30.200000,485,48.500000,465,46.500000,163,171,189,175,104,77,79,42,2.862398748,175.248000000,-6.600000
888000,888999,1742099708,1742695000,1000,430,43.000000,448,44.800000,324,32.400000,475,47.500000,491,49.100000,167,152,174,183,100,106,68,50,2.886889977,144.944000000,2.200000
889000,889999,1742695608,1743268544,1000,412,41.200000,436,43.600000,336,33.600000,466,46.600000,441,44.100000,153,158,203,150,138,85,65,48,2.875713879,159.040000000,1.200000
890000,890999,1743269341,1743829272,1000,461,46.100000,454,45.400000,341,34.100000,491,49.100000,450,45.000000,150,172,188,149,121,66,91,63,2.903334719,127.008000000,0.500000
891000,891999,1743829421,1744418609,1000,450,45.000000,448,44.800000,312,31.200000,431,43.100000,452,45.200000,191,181,163,153,120,77,74,41,2.862271628,173.648000000,-2.900000
892000,892999,1744419898,1744992508,1000,470,47.000000,461,46.100000,342,34.200000,478,47.800000,450,45.000000,165,158,173,162,129,70,83,60,2.904057542,123.136000000,3.000000
893000,893999,1744992695,1745632470,1000,449,44.900000,476,47.600000,371,37.100000,448,44.800000,473,47.300000,161,175,143,150,131,85,92,63,2.930447340,90.512000000,2.900000
894000,894999,1745633404,1746253653,1000,448,44.800000,436,43.600000,341,34.100000,446,44.600000,461,46.100000,168,178,175,138,131,77,65,68,2.898933729,132.128000000,-3.000000
895000,895999,1746254974,1746818846,1000,473,47.300000,479,47.900000,339,33.900000,485,48.500000,495,49.500000,145,180,162,174,110,80,88,61,2.910127264,119.280000000,-0.200000
896000,896999,1746820212,1747420858,1000,484,48.400000,457,45.700000,351,35.100000,459,45.900000,489,48.900000,162,170,150,167,125,84,74,68,2.918605983,106.512000000,1.200000
897000,897999,1747422787,1748004053,1000,447,44.700000,481,48.100000,348,34.800000,487,48.700000,433,43.300000,159,156,174,163,133,65,101,49,2.896191677,127.824000000,-0.300000
898000,898999,1748004494,1748574677,1000,454,45.400000,458,45.800000,345,34.500000,435,43.500000,454,45.400000,170,180,158,147,126,89,92,38,2.890238584,132.624000000,-0.300000
899000,899999,1748574769,1749188189,1000,460,46.000000,457,45.700000,380,38.000000,463,46.300000,461,46.100000,143,174,159,144,137,83,100,60,2.931275202,88.000000000,3.500000
