X1331 v0.22 Nonce Geometry / Regime Attribution
================================================
Input       : data/bitcoin-history-v020-frozen.csv
Output      : data/v022-nonce-geometry-1k.csv
Range       : 700000 .. 899999
Window      : 1000 blocks

DATASET VALIDATION
------------------
Rows        : 200000
First       : 700000
Last        : 899999
Consecutive : YES
Verified    : ALL

1K REGIME MAP
-------------
window              b9%     b8%     b7%     b6%     b5%      L9 H    Δb7(pp)
772000..772999  47.70%  43.40%  21.10%  46.30%  50.30%   2.73087     +0.40
773000..773999  44.90%  44.90%  22.10%  47.00%  45.90%   2.73681     +1.00
774000..774999  44.80%  46.50%  24.20%  47.20%  44.80%   2.77585     +2.10
775000..775999  44.60%  43.20%  23.40%  47.60%  48.30%   2.77364     -0.80
776000..776999  45.00%  45.50%  22.40%  48.10%  48.80%   2.75520     -1.00
777000..777999  44.40%  44.40%  24.70%  46.60%  48.30%   2.78532     +2.30
778000..778999  43.10%  43.80%  25.60%  46.40%  49.50%   2.78659     +0.90
779000..779999  44.10%  40.70%  24.70%  49.60%  46.40%   2.79459     -0.90
780000..780999  44.70%  43.70%  24.50%  48.80%  48.50%   2.79344     -0.20
781000..781999  43.00%  43.70%  23.00%  46.90%  44.70%   2.75967     -1.50
782000..782999  44.40%  43.80%  24.90%  46.80%  48.30%   2.77904     +1.90
783000..783999  43.30%  42.10%  23.30%  47.80%  46.90%   2.76995     -1.60
784000..784999  42.00%  45.50%  22.00%  48.50%  47.10%   2.74548     -1.30
785000..785999  41.20%  42.80%  23.90%  48.70%  46.90%   2.78543     +1.90
786000..786999  43.20%  40.60%  27.50%  46.90%  47.20%   2.83840     +3.60
787000..787999  47.50%  44.60%  23.90%  46.50%  49.40%   2.78412     -3.60
788000..788999  44.00%  42.50%  23.30%  48.50%  46.20%   2.76374     -0.60
789000..789999  43.80%  42.00%  28.30%  47.20%  44.80%   2.83908     +5.00
790000..790999  43.50%  44.60%  24.10%  46.70%  48.40%   2.78316     -4.20
791000..791999  44.30%  41.40%  22.90%  50.20%  47.70%   2.76070     -1.20
792000..792999  47.60%  44.30%  25.10%  46.80%  46.60%   2.79102     +2.20
793000..793999  43.30%  42.70%  25.80%  48.70%  49.10%   2.80471     +0.70
794000..794999  45.30%  44.00%  26.40%  50.70%  44.70%   2.80856     +0.60
795000..795999  42.80%  41.90%  26.00%  46.10%  47.90%   2.80852     -0.40
796000..796999  41.00%  42.50%  24.60%  46.80%  50.10%   2.79129     -1.40
797000..797999  44.60%  42.80%  24.40%  48.90%  45.20%   2.77590     -0.20
798000..798999  46.00%  43.50%  23.00%  49.30%  47.60%   2.76688     -1.40
799000..799999  45.10%  42.70%  26.00%  48.50%  48.60%   2.79556     +3.00
800000..800999  42.00%  44.40%  24.00%  46.40%  46.90%   2.76890     -2.00
801000..801999  43.20%  41.50%  24.60%  46.40%  44.90%   2.78468     +0.60
802000..802999  45.40%  43.60%  29.70%  48.20%  50.40%   2.85968     +5.10
803000..803999  45.50%  44.30%  24.70%  46.60%  45.80%   2.76956     -5.00
804000..804999  44.60%  43.00%  24.80%  50.80%  49.70%   2.79682     +0.10
805000..805999  41.80%  44.20%  22.90%  47.60%  47.70%   2.75273     -1.90
806000..806999  45.10%  41.10%  24.20%  46.40%  46.90%   2.78633     +1.30
807000..807999  42.40%  44.10%  27.70%  48.90%  47.40%   2.83665     +3.50
808000..808999  42.30%  41.90%  25.70%  48.70%  48.10%   2.80755     -2.00
809000..809999  43.50%  43.70%  25.70%  46.40%  47.70%   2.79272     +0.00
810000..810999  43.80%  41.30%  26.50%  45.60%  46.50%   2.80877     +0.80
811000..811999  43.40%  42.10%  25.40%  47.50%  48.90%   2.81076     -1.10
812000..812999  42.80%  45.70%  24.10%  47.00%  44.30%   2.77320     -1.30
813000..813999  42.40%  43.20%  25.60%  47.60%  48.00%   2.80567     +1.50
814000..814999  41.90%  45.60%  24.30%  47.50%  46.70%   2.78595     -1.30
815000..815999  43.40%  42.70%  27.50%  46.20%  47.50%   2.82215     +3.20
816000..816999  44.10%  41.00%  27.60%  47.00%  47.80%   2.83689     +0.10
817000..817999  44.70%  43.20%  27.20%  46.40%  45.50%   2.82353     -0.40
818000..818999  40.30%  41.70%  26.60%  45.70%  47.00%   2.80063     -0.60
819000..819999  45.70%  42.30%  26.00%  46.50%  48.10%   2.80924     -0.60
820000..820999  43.30%  44.30%  28.10%  47.50%  45.80%   2.82630     +2.10
