LIVE-11Q-B — X1331 SIGNAL OBSERVER
Classical quantum-inspired runtime
No SHA execution
No future digest knowledge
PASS / TRY signal laboratory

============================================================
STIMULUS 000  bits=[0, 0, 0]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
     5   2.9764   0.0079   0.0039   0.4807   0.1315   0.0003 +0.0003    8      0
     6   2.1668   0.2777   0.0494   0.4805   0.4331   0.0322 +0.0319    4      0
     7   1.3186   0.5605   0.0294   0.9326   0.2147   0.0822 +0.0500    4      0
     8   2.1474   0.2842   0.0449   0.9643   0.1624   0.0541 -0.0281    4      0
     9   2.9367   0.0211   0.0262   0.8805   0.1795   0.0029 -0.0512    8      0
    10   2.6554   0.1149   0.0368   0.6132   0.3895   0.0135 +0.0106    8      0
    11   2.4581   0.1806   0.1135   0.4917   0.4254   0.0324 +0.0189    4      0
    12   2.4186   0.1938   0.0670   0.5744   0.3490   0.0307 -0.0017    4      0
    13   2.3443   0.2186   0.0703   0.6185   0.3035   0.0380 +0.0074    4      0
    14   1.7107   0.4298   0.5731   0.7810   0.2205   0.2539 +0.2158    2      0
    15   2.0827   0.3058   0.3810   0.6284   0.2222   0.1320 -0.1219    4      0
    16   2.3142   0.2286   0.2573   0.5001   0.1622   0.0751 -0.0569    4      0
    17   2.7038   0.0987   0.0398   0.6992   0.2499   0.0143 -0.0608    8      0
    18   2.6341   0.1220   0.0432   0.5568   0.4052   0.0146 +0.0003    4      0
    19   2.6318   0.1227   0.0933   0.5357   0.2905   0.0231 +0.0085    4      0
    20   2.6854   0.1049   0.0667   0.7547   0.4832   0.0169 -0.0062    8      0
    21   2.7055   0.0982   0.0045   0.6656   0.5143   0.0038 -0.0132    8      0
    22   2.6986   0.1005   0.0891   0.2432   0.4448   0.0110 +0.0073    8      0
    23   2.4608   0.1797   0.1484   0.6964   0.5591   0.0384 +0.0273    4      0
    24   2.4537   0.1821   0.0281   0.6593   0.3404   0.0201 -0.0182    4      0
    25   2.3282   0.2239   0.2538   0.5283   0.4814   0.0590 +0.0389    4      0
    26   2.2305   0.2565   0.1792   0.6074   0.4330   0.0637 +0.0047    4      0
    27   2.6452   0.1183   0.1784   0.2826   0.2725   0.0227 -0.0411    8      0
    28   2.7950   0.0683   0.0459   0.4858   0.3444   0.0083 -0.0144    8      0
    29   2.3182   0.2273   0.2693   0.2315   0.2852   0.0480 +0.0397    4      0
    30   2.3630   0.2123   0.1906   0.4143   0.3757   0.0471 -0.0008    4      0
    31   2.5597   0.1468   0.0033   0.4078   0.2346   0.0047 -0.0424    4      0
   128   2.2017   0.2661   0.3065   0.5494   0.3054   0.0910 +0.0823    4      0
   256   2.6446   0.1185   0.0645   0.4878   0.2376   0.0183 +0.0044    8      0
   384   2.4809   0.1730   0.1649   0.4145   0.7213   0.0239 +0.0163    4      0
   512   2.4136   0.1955   0.0483   0.5243   0.2591   0.0268 +0.0204    4      0
   640   2.3331   0.2223   0.2594   0.3150   0.3979   0.0493 +0.0027    4      0
   768   2.4611   0.1796   0.1061   0.0178   0.5592   0.0052 -0.0728    4      0
   896   2.3123   0.2292   0.2993   0.5324   0.2496   0.0793 +0.0491    4      0
  1024   2.7518   0.0827   0.0375   0.2985   0.2458   0.0076 -0.0045    8      0
  1152   2.5365   0.1545   0.1362   0.5303   0.4757   0.0301 -0.0188    4      0
  1280   2.7647   0.0784   0.0427   0.3116   0.2642   0.0078 -0.0194    8      0
  1408   2.5861   0.1380   0.0780   0.1951   0.2232   0.0150 +0.0069    4      0
  1536   2.3859   0.2047   0.2031   0.4715   0.8282   0.0263 -0.0224    4      0
  1664   2.7153   0.0949   0.1234   0.3920   0.4014   0.0161 +0.0019    8      0
  1792   1.9567   0.3478   0.1969   0.5131   0.2675   0.0946 +0.0873    4      0
  1920   2.5019   0.1660   0.0089   0.5064   0.4287   0.0084 -0.0093    4      0
  2048   2.3714   0.2095   0.2586   0.6016   0.1003   0.0784 -0.0107    4      0
  2176   2.5908   0.1364   0.1634   0.5274   0.1805   0.0363 +0.0322    4      0
  2304   2.5324   0.1559   0.1966   0.6393   0.4779   0.0399 -0.0287    4      0
  2432   2.4316   0.1895   0.0948   0.3196   0.3152   0.0273 +0.0252    4      0
  2560   2.7192   0.0936   0.0474   0.6479   0.2284   0.0144 +0.0058    8      0
  2688   2.7245   0.0918   0.1288   0.4579   0.5022   0.0157 -0.0072    8      0
  2816   2.5615   0.1462   0.0122   0.3701   0.2419   0.0086 -0.0042    4      0
  2944   2.0726   0.3091   0.3823   0.6403   0.1985   0.1369 +0.0928    4      0
  3072   2.4158   0.1947   0.0482   0.2976   0.5296   0.0160 -0.0133    4      0
  3200   2.5911   0.1363   0.0727   0.5920   0.2451   0.0246 +0.0046    4      0
  3328   2.7324   0.0892   0.0104   0.4427   0.2727   0.0051 -0.0152    8      0
  3456   2.7048   0.0984   0.0977   0.7737   0.3480   0.0218 +0.0042    8      0
  3584   2.7537   0.0821   0.0119   0.4563   0.3015   0.0051 -0.0126    8      0
  3712   2.3328   0.2224   0.1983   0.1304   0.2550   0.0309 +0.0178    4      0
  3840   2.4766   0.1745   0.1351   0.7893   0.7637   0.0277 -0.0009    4      0
  3968   2.7995   0.0668   0.0057   0.1839   0.4152   0.0017 -0.0123    8      0

action          = PASS
reason          = no stable signal transition
round_budget    = 4096

============================================================
STIMULUS 010  bits=[0, 1, 0]
============================================================
 round  entropy     conc      sep    coher   motion   signal   delta    K stable
     0   1.9987   0.3338   0.0249   0.9989   0.0116   0.0523 +0.0523    4      0
     1   1.0149   0.6617   0.0247   0.9937   0.1600   0.0949 +0.0426    4      0
     2   0.0996   0.9668   0.9788   0.9908   0.1457   0.8800 +0.7850    1      0
     3   1.1071   0.6310   0.0000   0.9720   0.0292   0.0000 -0.8800    4      0
     4   2.0752   0.3083   0.0248   0.5269   0.0764   0.0338 +0.0338    4      0
     5   2.9868   0.0044   0.0079   0.5225   0.4164   0.0002 -0.0336    8      0
     6   2.0775   0.3075   0.0159   0.9804   0.1451   0.0355 +0.0353    4      0
     7   2.9801   0.0066   0.0026   0.8831   0.2771   0.0003 -0.0352    8      0
     8   2.7411   0.0863   0.0251   0.7664   0.3411   0.0097 +0.0094    8      0
     9   2.3909   0.2030   0.0742   0.6959   0.3535   0.0371 +0.0274    4      0
    10   2.0870   0.3043   0.3962   0.7514   0.3476   0.1341 +0.0970    4      0
    11   1.8186   0.3938   0.5188   0.8477   0.1257   0.2442 +0.1101    2      0
    12   1.7705   0.4098   0.4699   0.8994   0.2002   0.2383 -0.0059    2      1
    13   1.6270   0.4577   0.5730   0.7095   0.0782   0.2802 +0.0419    2      0
    14   2.1437   0.2854   0.1006   0.7423   0.3350   0.0636 -0.2166    4      0
    15   2.5883   0.1372   0.0610   0.6795   0.1357   0.0260 -0.0376    4      0
    16   2.8957   0.0348   0.0194   0.7374   0.4964   0.0030 -0.0230    8      0
    17   2.7109   0.0964   0.1251   0.4281   0.4235   0.0169 +0.0140    8      0
    18   2.2886   0.2371   0.2398   0.6019   0.2791   0.0765 +0.0596    4      0
    19   2.5266   0.1578   0.2753   0.9190   0.3022   0.0663 -0.0102    4      0
    20   2.1485   0.2838   0.3100   0.7622   0.4581   0.1016 +0.0353    4      0
    21   2.2529   0.2490   0.2495   0.6018   0.4953   0.0686 -0.0330    4      0
    22   2.3238   0.2254   0.0894   0.4725   0.4715   0.0337 -0.0349    4      0
    23   2.8603   0.0466   0.0337   0.4922   0.3793   0.0047 -0.0289    8      0
    24   2.3748   0.2084   0.0972   0.7304   0.3976   0.0431 +0.0384    4      0
    25   1.8975   0.3675   0.1095   0.4640   0.4745   0.0600 +0.0170    4      0
    26   1.8125   0.3958   0.3011   0.5546   0.6500   0.0957 +0.0357    2      0
    27   2.3077   0.2308   0.1974   0.3506   0.1311   0.0566 -0.0391    4      0
    28   2.4357   0.1881   0.2252   0.7016   0.6203   0.0461 -0.0105    4      0
    29   2.4180   0.1940   0.2568   0.3838   0.4982   0.0431 -0.0029    4      0
    30   2.3629   0.2124   0.1945   0.4567   0.0717   0.0610 +0.0178    4      0
    31   2.6108   0.1297   0.0256   0.8546   0.3678   0.0152 -0.0457    4      0
   128   1.8222   0.3926   0.0275   0.7137   0.5724   0.0360 +0.0201    4      0
   256   2.3488   0.2171   0.0236   0.7713   0.1339   0.0273 -0.0673    4      0
   384   2.5369   0.1544   0.1153   0.7705   0.2347   0.0402 +0.0227    4      0
   512   2.1945   0.2685   0.1396   0.7339   0.6335   0.0520 +0.0316    4      0
   640   2.2955   0.2348   0.3451   0.6492   0.1255   0.1039 +0.0207    4      0
   768   2.6290   0.1237   0.1495   0.7536   0.1789   0.0376 +0.0093    4      0
   896   2.4260   0.1913   0.1280   0.6600   0.5464   0.0375 -0.0204    4      0
  1024   2.2084   0.2639   0.4425   0.5890   0.1014   0.1277 +0.0167    4      0
  1152   2.4875   0.1708   0.2911   0.7411   0.1569   0.0728 +0.0321    4      0
  1280   2.5557   0.1481   0.1797   0.5871   0.5240   0.0332 -0.0388    4      0
  1408   2.2317   0.2561   0.4491   0.5154   0.1171   0.1158 -0.0020    4      0
  1536   2.3569   0.2144   0.3042   0.7065   0.1428   0.0920 +0.0581    4      0
  1664   2.6881   0.1040   0.1980   0.5013   0.5215   0.0227 -0.0406    8      0
  1792   2.2831   0.2390   0.3913   0.4127   0.1395   0.0891 +0.0008    4      0
  1920   2.3137   0.2288   0.2380   0.6378   0.1496   0.0822 +0.0685    4      0
  2048   2.7759   0.0747   0.1287   0.4164   0.5148   0.0120 -0.0304    8      0
  2176   2.3472   0.2176   0.2930   0.3405   0.1908   0.0618 +0.0216    4      0
  2304   2.3311   0.2230   0.1058   0.5413   0.1884   0.0481 +0.0366    4      0
  2432   2.7775   0.0742   0.0031   0.3533   0.5048   0.0017 -0.0082    8      0
  2560   2.4121   0.1960   0.2016   0.3715   0.2387   0.0468 +0.0359    4      0
  2688   2.3667   0.2111   0.0409   0.4490   0.2420   0.0249 +0.0152    4      0
  2816   2.7414   0.0862   0.1071   0.3169   0.5117   0.0111 -0.0258    8      0
  2944   2.4317   0.1894   0.1374   0.4143   0.2412   0.0394 +0.0186    4      0
  3072   2.3839   0.2054   0.1209   0.4208   0.2797   0.0393 +0.0299    4      0
  3200   2.7421   0.0860   0.1308   0.2890   0.5417   0.0113 -0.0318    8      0
  3328   2.4357   0.1881   0.1472   0.4193   0.2443   0.0406 +0.0204    4      0
  3456   2.4180   0.1940   0.1075   0.4517   0.2810   0.0362 +0.0269    4      0
  3584   2.7625   0.0792   0.0899   0.2696   0.5681   0.0081 -0.0211    8      0
  3712   2.4271   0.1910   0.1924   0.4129   0.2266   0.0473 +0.0322    4      0
  3840   2.4437   0.1854   0.0522   0.4931   0.2601   0.0256 +0.0158    4      0
